country,text,pct,n,n_worker
India,"Accounting, bookkeeping and auditing activities; tax consultancy",0.1207,182761846.6,220594
India,"Activities auxiliary to financial service activities, except insurance and pension funding",0.053,182761846.6,96864
India,Activities auxiliary to insurance and pension funding,0.0485,182761846.6,88639
India,"Activities of business, employers and professional membership organizations",0.0093,182761846.6,16997
India,Activities of call centres,0.035,182761846.6,63967
India,Activities of employment placement agencies,0.05,182761846.6,91381
India,Activities of head offices,0.004,182761846.6,7310
India,Activities of holding companies,0.0022,182761846.6,4021
India,Activities of households as employers of domestic personnel,1.3101,182761846.6,2394363
India,Activities of other membership organizations,0.323,182761846.6,590321
India,Activities of trade unions,0.0043,182761846.6,7859
India,Administration of the State and the economic and social policy of the community,1.1157,182761846.6,2039074
India,Advertising,0.0121,182761846.6,22114
India,Animal production,4.8362,182761846.6,8838728
India,Aquaculture,0.1101,182761846.6,201221
India,Architectural  and  engineering  activities  and  related  technical consultancy,0.039,182761846.6,71277
India,Beverage serving activities,0.4291,182761846.6,784231
India,Building completion and finishing,0.7863,182761846.6,1437056
India,Building of ships and boats,0.0033,182761846.6,6031
India,Business support service activities n.e.c.,0.0476,182761846.6,86995
India,"Camping grounds, recreational vehicle parks and trailer parks",0.0002,182761846.6,366
India,Casting of metals,0.1193,182761846.6,218035
India,Cleaning activities,0.0677,182761846.6,123730
India,Combined facilities support activities,0.0015,182761846.6,2741
India,Compulsory social security activities,0.0389,182761846.6,71094
India,"Computer programming, consultancy and related activities",1.0563,182761846.6,1930513
India,Construction of buildings,10.5672,182761846.6,19312810
India,Construction of other civil engineering projects,0.0425,182761846.6,77674
India,Construction of utility projects,0.2513,182761846.6,459281
India,Construction roads and railways,0.3507,182761846.6,640946
India,Courier activities,0.0672,182761846.6,122816
India,"Creative, arts and entertainment activities",0.1754,182761846.6,320564
India,"Data processing, hosting and related activities; web portals",0.0834,182761846.6,152423
India,Demolition and site preparation,0.0865,182761846.6,158089
India,Educational support services,0.041,182761846.6,74932
India,"Electric power generation, transmission and distribution",0.3134,182761846.6,572776
India,"Electrical, plumbing and other construction installation activities",0.5218,182761846.6,953651
India,Event catering and other food service activities,0.2571,182761846.6,469881
India,Extraction of crude petroleum,0.0049,182761846.6,8955
India,Extraction of natural gas,0.0019,182761846.6,3472
India,Fishing,0.1971,182761846.6,360224
India,Freight air transport,0.0032,182761846.6,5848
India,Fund management activities,0.0048,182761846.6,8773
India,Gambling and betting activities,0.0321,182761846.6,58667
